"filename", "language", "Python", "JSON", "Markdown", "pip requirements", "toml", "YAML", "C++", "C", "Batch", "Shell Script", "hex", "Makefile", "Database", "Rust", "ARM", "Docker", "XML", "comment", "blank", "total"
"e:\C&C++\project\yolov5\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"e:\C&C++\project\yolov5\.github\ISSUE_TEMPLATE\feature-request.yml", "YAML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 53
"e:\C&C++\project\yolov5\.github\ISSUE_TEMPLATE\question.yml", "YAML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 36
"e:\C&C++\project\yolov5\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 28
"e:\C&C++\project\yolov5\.github\workflows\ci-testing.yml", "YAML", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 151
"e:\C&C++\project\yolov5\.github\workflows\cla.yml", "YAML", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 45
"e:\C&C++\project\yolov5\.github\workflows\codeql-analysis.yml", "YAML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 57
"e:\C&C++\project\yolov5\.github\workflows\docker.yml", "YAML", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 61
"e:\C&C++\project\yolov5\.github\workflows\format.yml", "YAML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 71
"e:\C&C++\project\yolov5\.github\workflows\links.yml", "YAML", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 74
"e:\C&C++\project\yolov5\.github\workflows\merge-main-into-prs.yml", "YAML", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 11, 72
"e:\C&C++\project\yolov5\.github\workflows\stale.yml", "YAML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 48
"e:\C&C++\project\yolov5\CITATION.cff", "YAML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\C&C++\project\yolov5\CONTRIBUTING.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 77
"e:\C&C++\project\yolov5\README.md", "Markdown", 0, 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 469
"e:\C&C++\project\yolov5\README.zh-CN.md", "Markdown", 0, 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 469
"e:\C&C++\project\yolov5\benchmarks.py", "Python", 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41, 295
"e:\C&C++\project\yolov5\classify\predict.py", "Python", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 31, 242
"e:\C&C++\project\yolov5\classify\train.py", "Python", 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 51, 383
"e:\C&C++\project\yolov5\classify\tutorial.ipynb", "JSON", 0, 1488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1489
"e:\C&C++\project\yolov5\classify\val.py", "Python", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 179
"e:\C&C++\project\yolov5\data\Argoverse.yaml", "YAML", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 73
"e:\C&C++\project\yolov5\data\GlobalWheat2020.yaml", "YAML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 53
"e:\C&C++\project\yolov5\data\ImageNet.yaml", "YAML", 0, 0, 0, 0, 0, 1006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 1021
"e:\C&C++\project\yolov5\data\ImageNet10.yaml", "YAML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 31
"e:\C&C++\project\yolov5\data\ImageNet100.yaml", "YAML", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 120
"e:\C&C++\project\yolov5\data\ImageNet1000.yaml", "YAML", 0, 0, 0, 0, 0, 1006, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 1021
"e:\C&C++\project\yolov5\data\Objects365.yaml", "YAML", 0, 0, 0, 0, 0, 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 437
"e:\C&C++\project\yolov5\data\SKU-110K.yaml", "YAML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 52
"e:\C&C++\project\yolov5\data\VOC.yaml", "YAML", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 99
